車站編號,車站中文名稱,車站英文名稱,車站經度,車站緯度
C1,籬仔內站,Lizihnei,120.324673,22.604686
C2,凱旋瑞田站,Kaisyuan Rueitian,120.319773,22.599539
C3,前鎮之星站,Cianjhen Star   ,120.31537,22.595508
C4,凱旋中華站,Kaisyuan Jhonghua,120.310519,22.593661
C5,夢時代站,Dream Mall,120.305007,22.594891
C6,經貿園區站,Commerce and Trade Park,120.302663,22.600966
C7,軟體園區站,Software Technology Park,120.300835,22.60569
C8,高雄展覽館站,Kaohsiung Exhibition Center,120.298025,22.610139
C9,旅運中心站,Cruise Terminal,120.293441,22.611631
C10,光榮碼頭站,Glory Pier,120.29321,22.616759
C11,真愛碼頭站,Love Pier,120.289469,22.619321
C12,駁二大義站,Dayi Pier-2,120.284204,22.618569
C13,駁二蓬萊站,Penglai Pier-2 ,120.279935,22.620501
C14,哈瑪星站,Hamasen,120.275852,22.621623
